x, y
3.167441860465116, 353.11183144246354
3.983720930232558, 356.09400324149107
5.113953488372093, 356.93679092382496
5.584883720930232, 366.0129659643436
6.118604651162791, 371.1345218800648
6.9872093023255815, 378.13614262560776
7.95, 376.969205834684
8.483720930232558, 380.0810372771475
8.88139534883721, 379.9513776337115
9.436046511627907, 375.9967585089141
10.001162790697673, 378.0713128038898
10.513953488372092, 379.17341977309565
11.04767441860465, 378.0064829821718
11.204651162790698, 379.04376012965963
12, 380.0810372771475